,index,user,group,task,phase,time,type,sourcePath,targetPath,sourceRange,targetRange,time_dup
10,181,energy,control,1,0,2023-02-01 19:22:26.733944,tree,,code/lib/views/home_page/book_cover/book_cover.dart (grapple),,,2023-02-01T19:22:26.733944
12,182,energy,control,1,0,2023-02-01 19:24:11.653076,tree,,code/lib/styled_widgets/buttons/styled_share_btn.dart (NO_NODE_YET),,,2023-02-01T19:24:11.653076
14,183,energy,control,1,0,2023-02-01 19:24:22.176005,reference,code/lib/styled_widgets/buttons/styled_share_btn.dart (meeting),code/lib/views/home_page/book_cover/book_cover_large.dart (NO_NODE_YET),8:6-8:21,84:20-84:35,2023-02-01T19:24:22.176005
16,184,energy,control,1,0,2023-02-01 19:24:36.174093,define,code/lib/views/home_page/book_cover/book_cover_large.dart (fir),code/lib/styled_widgets/buttons/styled_share_btn.dart (meeting),84:20-84:35,9:8-9:23,2023-02-01T19:24:36.174093
18,185,energy,control,1,0,2023-02-01 19:24:50.458617,mark,,code/lib/styled_widgets/buttons/styled_share_btn.dart (meeting),,22:6-22:50,2023-02-01T19:24:50.458617
19,551,energy,control,1,0,2023-02-01 19:25:05.865827,UI,,/styled_widgets/buttons/styled_share_btn.dart,,,2023-02-01T19:25:05.865827
20,186,energy,control,1,0,2023-02-01 19:25:09.915511,define,code/lib/styled_widgets/buttons/styled_share_btn.dart (meeting),code/lib/commands/app/copy_share_link_command.dart (NO_NODE_YET),22:29-22:32,14:15-14:18,2023-02-01T19:25:09.915511
22,187,energy,control,1,0,2023-02-01 19:25:22.016749,mark,,code/lib/commands/app/copy_share_link_command.dart (soccer),,14:2-33:3,2023-02-01T19:25:22.016749
23,188,energy,control,1,0,2023-02-01 19:25:30.263173,mark,,code/lib/commands/app/copy_share_link_command.dart (soccer),,16:6-33:3,2023-02-01T19:25:30.263173
24,189,energy,control,1,0,2023-02-01 19:25:32.501206,unmark,,code/lib/commands/app/copy_share_link_command.dart (soccer),,16:6-33:3,2023-02-01T19:25:32.501206
25,190,energy,control,1,0,2023-02-01 19:25:41.765449,unmark,,code/lib/commands/app/copy_share_link_command.dart (soccer),,14:2-33:3,2023-02-01T19:25:41.765449
26,191,energy,control,1,0,2023-02-01 19:25:44.502158,mark,,code/lib/commands/app/copy_share_link_command.dart (soccer),,14:2-14:51,2023-02-01T19:25:44.502158
27,192,energy,control,1,0,2023-02-01 19:25:46.759920,mark,,code/lib/commands/app/copy_share_link_command.dart (soccer),,17:8-21:24,2023-02-01T19:25:46.759920
28,193,energy,control,1,0,2023-02-01 19:25:50.938600,mark,,code/lib/commands/app/copy_share_link_command.dart (soccer),,26:6-26:50,2023-02-01T19:25:50.938600
29,194,energy,control,1,1,2023-02-01 19:26:47.894624,define,code/lib/commands/app/copy_share_link_command.dart (soccer),code/lib/commands/commands.dart (NO_NODE_YET),18:16-18:24,29:15-29:23,2023-02-01T19:26:47.894624
31,554,energy,control,1,1,2023-02-01 19:26:59.243884,UI,,/views/home_page/book_cover/book_cover.dart,,,2023-02-01T19:26:59.243884
32,555,energy,control,1,1,2023-02-01 19:27:04.143663,UI,,/styled_widgets/buttons/styled_share_btn.dart,,,2023-02-01T19:27:04.143663
33,195,energy,control,1,1,2023-02-01 19:27:06.177038,hide,,code/lib/views/home_page/book_cover/book_cover.dart (grapple),,,2023-02-01T19:27:06.177038
35,196,energy,control,1,1,2023-02-01 19:27:07.045739,hide,,code/lib/styled_widgets/buttons/styled_share_btn.dart (meeting),,,2023-02-01T19:27:07.045739
37,197,energy,control,1,1,2023-02-01 19:27:08.027923,hide,,code/lib/commands/app/copy_share_link_command.dart (soccer),,,2023-02-01T19:27:08.027923
39,198,energy,control,1,1,2023-02-01 19:27:08.816925,hide,,code/lib/commands/commands.dart (elastic),,,2023-02-01T19:27:08.816925
41,199,energy,control,1,1,2023-02-01 19:27:10.565010,hide,,code/lib/main.dart (airmail),,,2023-02-01T19:27:10.565010
43,200,energy,control,1,1,2023-02-01 19:27:11.185722,hide,,code/lib/models/books_model.dart (coelurus),,,2023-02-01T19:27:11.185722
45,201,energy,control,1,1,2023-02-01 19:27:11.730941,hide,,code/lib/views/home_page/home_page.dart (cement),,,2023-02-01T19:27:11.730941
47,202,energy,control,1,1,2023-02-01 19:27:11.943733,hide,,code/lib/views/home_page/covers_flow_list.dart (sticky),,,2023-02-01T19:27:11.943733
49,203,energy,control,1,1,2023-02-01 19:27:12.140307,hide,,code/lib/views/home_page/book_cover/book_cover_large.dart (fir),,,2023-02-01T19:27:12.140307
51,204,energy,control,1,1,2023-02-01 19:27:12.345625,hide,,code/lib/styled_widgets/book_cover_image.dart (mangrove),,,2023-02-01T19:27:12.345625
52,205,energy,control,1,1,2023-02-01 19:27:14.377106,tree,,code/lib/styled_widgets/buttons/styled_share_btn.dart (meeting),,,2023-02-01T19:27:14.377106
54,206,energy,control,1,1,2023-02-01 19:27:22.288448,define,code/lib/styled_widgets/buttons/styled_share_btn.dart (meeting),code/lib/commands/app/copy_share_link_command.dart (soccer),22:29-22:32,14:15-14:18,2023-02-01T19:27:22.288448
56,207,energy,control,1,1,2023-02-01 19:27:27.229840,mark,,code/lib/commands/app/copy_share_link_command.dart (soccer),,17:16-18:14,2023-02-01T19:27:27.229840
57,208,energy,control,1,1,2023-02-01 19:27:29.114641,unmark,,code/lib/commands/app/copy_share_link_command.dart (soccer),,17:16-18:14,2023-02-01T19:27:29.114641
58,209,energy,control,1,1,2023-02-01 19:27:34.276181,mark,,code/lib/commands/app/copy_share_link_command.dart (soccer),,18:10-18:42,2023-02-01T19:27:34.276181
59,210,energy,control,1,1,2023-02-01 19:27:36.910383,define,code/lib/commands/app/copy_share_link_command.dart (soccer),code/lib/commands/commands.dart (elastic),18:16-18:24,29:15-29:23,2023-02-01T19:27:36.910383
61,211,energy,control,1,1,2023-02-01 19:27:41.890967,tree,,code/lib/styled_widgets/buttons/styled_share_btn.dart (meeting),,,2023-02-01T19:27:41.890967
