,Unnamed: 0,Unnamed: 0.1,user,group,task,phase,start,end,duration
83,107,125.0,aqua,control,3,1,2022-08-14 14:28:33.880860,2022-08-14 14:30:21.303548,1.79
84,108,127.0,bread,canvas,1,0,2022-08-12 22:03:36.485111,2022-08-12 22:15:50.409509,12.23
85,109,128.0,bread,canvas,1,1,2022-08-12 22:15:50.410290,2022-08-12 22:19:35.445791,3.75
86,110,129.0,bread,canvas,2,0,2022-08-12 22:19:35.446513,2022-08-12 22:34:11.110652,14.59
87,111,130.0,bread,canvas,2,1,2022-08-12 22:34:11.111070,2022-08-12 22:44:09.121150,9.97
88,112,131.0,bread,canvas,3,0,2022-08-12 22:44:09.121925,2022-08-12 22:54:50.629266,10.69
89,113,132.0,bread,canvas,3,1,2022-08-12 22:54:50.630114,2022-08-12 22:59:54.751656,5.07
0,18,,channel,canvas,1,0,2023-01-24 16:18:39.551291,2023-01-24 16:20:48.301683,2.15
1,19,,channel,canvas,1,1,2023-01-24 16:20:48.302700,2023-01-24 16:22:50.819118,2.04
2,20,,channel,canvas,2,0,2023-01-24 16:22:50.820027,2023-01-24 16:28:57.742377,6.12
3,21,,channel,canvas,2,1,2023-01-24 16:28:57.743366,2023-01-24 16:33:52.145663,4.91
4,22,,channel,canvas,3,0,2023-01-24 16:33:52.146581,2023-01-24 16:36:07.438845,2.25
5,23,,channel,canvas,3,1,2023-01-24 16:36:07.439826,2023-01-24 16:39:10.096254,3.04
6,24,,patch,control,1,0,2023-01-25 17:52:53.647053,2023-01-25 17:59:41.139342,6.79
7,25,,patch,control,1,1,2023-01-25 17:59:41.140270,2023-01-25 18:02:25.609752,2.74
8,26,,patch,control,2,0,2023-01-25 18:02:25.610580,2023-01-25 18:13:04.321390,10.65
9,27,,patch,control,2,1,2023-01-25 18:13:04.322329,2023-01-25 18:22:00.592073,8.94
10,28,,patch,control,3,0,2023-01-25 18:22:00.592965,2023-01-25 18:24:14.925533,2.24
11,29,,patch,control,3,1,2023-01-25 18:24:14.926370,2023-01-25 18:27:03.311313,2.81
12,36,,frame,canvas,1,0,2023-01-10 19:39:13.594009,2023-01-10 19:49:04.930031,9.86
13,37,,frame,canvas,1,1,2023-01-10 19:49:04.930786,2023-01-10 19:51:29.255352,2.41
14,38,,frame,canvas,2,0,2023-01-10 19:51:29.255719,2023-01-10 19:58:58.376523,7.49
15,39,,frame,canvas,2,1,2023-01-10 19:58:58.377478,2023-01-10 20:12:01.872478,13.06
16,40,,frame,canvas,3,0,2023-01-10 20:12:01.873159,2023-01-10 20:18:54.999579,6.89
17,41,,frame,canvas,3,1,2023-01-10 20:18:55.000019,2023-01-10 20:26:47.394554,7.87
18,42,,energy,control,1,0,2023-02-01 19:17:27.003851,2023-02-01 19:25:54.524364,8.46
19,43,,energy,control,1,1,2023-02-01 19:25:54.525418,2023-02-01 19:28:41.552098,2.78
20,44,,energy,control,2,0,2023-02-01 19:28:41.552928,2023-02-01 19:54:19.379779,25.63
21,45,,energy,control,2,1,2023-02-01 19:54:19.381268,2023-02-01 20:00:35.071403,6.26
22,46,,energy,control,3,0,2023-02-01 20:00:35.072532,2023-02-01 20:04:28.157130,3.88
23,47,,energy,control,3,1,2023-02-01 20:04:28.158136,2023-02-01 20:11:43.380522,7.25
24,48,,valley,control,1,0,2023-01-31 14:10:13.535489,2023-01-31 14:18:05.634993,7.87
25,49,,valley,control,1,1,2023-01-31 14:18:05.635913,2023-01-31 14:19:54.873525,1.82
26,50,,valley,control,2,0,2023-01-31 14:19:54.874527,2023-01-31 14:30:48.428978,10.89
27,51,,valley,control,2,1,2023-01-31 14:30:48.429843,2023-01-31 14:36:52.045318,6.06
28,52,,valley,control,3,0,2023-01-31 14:36:52.046436,2023-01-31 14:39:45.028288,2.88
29,53,,valley,control,3,1,2023-01-31 14:39:45.029351,2023-01-31 14:41:26.782351,1.7
